nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0797171	Adam Siemion	1981	\N	actor	tt0108052,tt0118176,tt0110505,tt0114118
nm0797173	Paul Siemion	\N	\N	actor	tt0057765,tt0058610,tt0047731,tt0046587
nm0797174	Wojciech Siemion	1928	2010	actor,director,writer	tt0441074,tt0066250,tt0047373,tt1511447
nm0797175	Jean-Paul Siemmenec	\N	\N	actor	tt6789606,tt0230209
nm0797176	Clovis Siemon	\N	\N	actor	tt0109293
nm0797177	Rebecca Siemoneit-Barum	1977	\N	actress	tt0088554,tt0490039,tt0112968,tt33320213
nm0797178	Anno Siemonsma	\N	\N	assistant_director	tt0113767
nm0797179	Matthew Siemonsma	\N	\N	actor	tt0245686
nm0797180	Christa Siems	1916	1990	actress	tt0256553,tt0059876,tt0439076,tt0248027
nm0797181	Arne Siemsen	1956	\N	actor,writer	tt0100627,tt0093031,tt0167137,tt0259123
nm0797182	Marcia Siemsen	\N	\N	miscellaneous	tt0126036
nm0797183	Tobias Siemsen	\N	\N	art_department,production_designer,art_director	tt0093318,tt0092246,tt0096752,tt0097287
nm0797184	Piet Siemund	\N	\N	make_up_department	tt0166022
nm0797185	Simonetta Siena	\N	\N	actress	tt0094098
nm0797186	Ann Siena-Schwartz	1925	2004	actress	tt0111093
nm0797187	M. Sienczurowa	\N	\N	music_department	tt0105164
nm0797188	Justyna Sienczyllo	1969	\N	actress	tt0245090,tt0182607,tt0794244,tt0441074
nm0797189	Marcello Siene	\N	\N	producer	tt0310657,tt0095513,tt0093454
nm0797190	Corey Sienega	\N	\N	producer,miscellaneous,executive	tt0264616,tt0144120,tt0482546,tt0387575
nm0797191	François Siener	\N	\N	actor	tt3662072,tt0087315,tt0093902,tt0168386
nm0797192	Tara Siener	\N	\N	producer,miscellaneous,writer	tt0765425,tt5860892,tt0251497,tt14778806
nm0797193	Enrico Sieni	\N	\N	actor,cinematographer	tt0222079,tt0112674
