tconst	directors	writers
tt10196568	nm8034536,nm8034535	\N
tt10196578	nm3972495	nm3972495
tt10196620	nm2048708	nm2048708
tt10197570	nm3772693	nm3772693
tt10197632	nm0741722	nm0741722
tt10198064	nm5500194	nm5500194
tt10198072	nm3881379	nm3887429,nm3881379
tt10198274	nm10238104	nm10479119
tt10198368	nm7339841	nm8860978
tt10198564	nm1595718	nm3112415,nm3323483,nm1595718
tt10198698	nm6870755	nm6870755,nm9469793
tt10198892	nm10630431	nm10630431
tt10198944	nm8893891,nm8023674	nm10627730
tt10199070	nm5414860	nm5414860,nm7015379
tt10199854	nm3410206	nm3410206
tt10199914	nm0544079	nm0189758,nm6276564
tt10199974	nm0422552,nm13830427	nm14331436,nm5627672,nm0422552
tt10200522	nm1272505	nm3227459,nm1272505
tt10201328	nm3683575	nm3969062,nm3683575,nm1970178
tt10203424	nm10629488,nm10629489	\N
tt10203788	nm2561496	nm8592309
tt10204512	nm1017585,nm0004608	nm1017585,nm0004608
tt10204756	nm0550059	nm0550059
tt10204998	nm7186350	nm7186350
tt10205046	nm2662500	nm8389292,nm1792652
tt10205358	nm3515123	\N
tt1020581	\N	nm9388111
tt10206818	nm2391552	nm4189691,nm10631182
tt10206898	nm7049769	nm7049776,nm7049769
tt10207588	nm6997123	nm6997123
tt10207710	nm1869948	nm6177862,nm0506165,nm1869948
tt10209920	nm3550868	nm3550868
tt10210064	nm1283651	nm1283651
tt10210882	nm1893182	nm1011791,nm1893182,nm8031256,nm8040033
tt10211984	nm0801220	nm0801220
tt10212042	nm3279125	nm3279125
tt10213380	nm1090998	nm12772188,nm1090998
tt10214316	nm7517648	nm7517648
tt10214496	nm1240047	nm1240047,nm2587380
tt10214542	nm10633885	\N
tt10214548	nm4904474	nm4904474,nm4901846
tt10214584	nm0279338	nm0279338
tt10214754	nm0538855	nm2939957
tt10214972	nm10634035	nm10634035
tt10215134	nm3530746	nm3530746
tt10215434	nm6265549	nm6265549
tt10215442	nm6768412,nm3443746	\N
tt10216812	nm4005028	nm4005028
tt10217460	nm0784395	nm0784395
tt10217620	nm4703308	nm4711068,nm9099171,nm4703308
tt10218112	nm2031440	nm2031440
tt10218878	nm0361833,nm0523879	nm0361833,nm0523879,nm11173854
tt10218912	nm4869777	nm4869777
tt10220406	nm0727168	nm0727168
tt10221732	nm3313162	nm3313162,nm7563102
tt10222148	nm5300696,nm8249998	\N
tt10223100	nm8903206	nm8903206
tt10223168	nm8858879	\N
tt10223460	nm0192478	nm0736966,nm1127337,nm3072210,nm2972397
tt10223644	nm0532269	nm0532269
tt10223850	nm10639881	nm4039514,nm10639881
tt10223876	nm6363756	nm5259035,nm6363756
tt10225378	nm7634825	nm7634825,nm3296146
tt10225380	nm6265549	nm6265549
tt10225420	nm6265549	nm6265549
tt10225726	nm6265549	nm6265549
tt10225926	nm0020811,nm8060725	nm4892232,nm8060725,nm0020811
tt10226550	nm1380954	\N
tt10226642	nm1380954,nm5303081	\N
tt10228134	nm0923330	nm10640839
tt10228546	nm3410783	nm3410783,nm5418886,nm3297151
tt10228618	nm3848723	nm5526320,nm9773818
tt10228976	nm10553909,nm4860790,nm2459544	nm10553909,nm4411409,nm4860790,nm2459544
tt10229068	nm0930707	nm5531185,nm4459902,nm0423682
tt10229260	nm6689633	nm6689633
tt10229550	nm6609131	nm5167823,nm2769940,nm0621686
tt10229558	nm1052162	nm1052162
tt10229794	nm6416761	nm6416761
tt10229824	nm0066448	nm0066448
tt10229932	nm5908839,nm4221160	nm5908839,nm8474654,nm4221160
tt10229982	nm6946481	nm6946481
tt10230010	nm9824022,nm11438095	nm9824022,nm11438095
tt10230258	nm7256514	nm7256514
tt10230290	nm0071123	\N
tt10230376	nm3251281	nm9910426,nm3251281
tt10230400	nm8377865	nm8377865
tt10230404	nm0015295,nm1962313,nm0424103,nm0440604	nm0015295,nm1962313,nm1145539,nm8623786,nm1238337,nm10367764,nm11170639
tt10230414	nm0592803,nm1236191	nm5378778,nm3534427,nm7475043,nm2276202,nm11724760
tt10230422	nm1387177	nm3871075,nm1387177
tt10230426	nm1145655	nm1145655
tt10230436	nm0850247	nm0850247
tt10230492	nm5348322	nm0860310
tt10230576	nm0412048	nm0412048,nm8545635
tt10230590	nm4568536	nm10642228
tt10230994	nm2982028	nm9485219,nm2982028
tt10231726	nm7944995	nm7944995,nm10608478,nm5399382
tt10231812	nm10642578	nm10642578
tt10231822	nm8185640	\N
tt10232096	nm5324085	nm5324085
tt10233388	nm2590202	nm2590202,nm7662616
tt10233406	nm0099797	nm2564025,nm1105699,nm2059904,nm10745352
tt10233718	nm8012613,nm2426355	nm2426355,nm8012613,nm8222749
tt10234010	nm6070994	nm6070994,nm7324773,nm4563809
tt10234084	nm0493007	nm3107262
tt10234310	nm10643842,nm10643841	nm10643842,nm10643841
