nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm14647812	Peter Molnar	\N	\N	cinematographer,director	tt30632742,tt30582182
nm14647846	Jesus Joy Pogoy	\N	\N	director	tt27126797
nm14647857	Scott Sailer	\N	\N	director,writer,cinematographer	tt27126802
nm14647858	Darcelle Sailer	\N	\N	writer,producer	tt27126802
nm14647922	Zanthia Bérubé	\N	\N	editorial_department,assistant_director,camera_department	tt32878639,tt28482794,tt27697749,tt28486679
nm14647965	Mark Cormier	\N	\N	writer	tt27124299
nm14647983	Skulo Banda	\N	\N	director,cinematographer,writer	\N
nm14647984	Benson Musebela	\N	\N	director,actor,producer	tt32368902,tt31409908,tt27126915,tt28248907
nm14647989	Elena Mateus	\N	\N	director,cinematographer,editor	tt27126916,tt27126946,tt1095213
nm14648013	Kendell House	\N	\N	producer,director,assistant_director	tt35851716,tt31721488,tt32175266,tt32376412
nm14648052	Abdul Rahman Gbla	\N	\N	writer,director,assistant_director	tt27182556,tt34385245,tt27127052,tt33144035
nm1464806	Sébastien Marqué	\N	\N	director,writer,cinematographer	tt0422039,tt11262296,tt16751192,tt0958836
nm14648070	Trent Johnson	\N	\N	director,writer,animation_department	tt27133140
nm1464808	Philip J. Marshall	\N	\N	editorial_department,producer,director	tt0398214,tt1603337,tt7156832,tt1719055
nm14648107	Pedro Pantoja	\N	\N	writer	tt27127112
nm14648115	Marlene	\N	\N	director	tt13304296
nm1464812	Richard J. Martinez	\N	\N	camera_department,producer,cinematographer	tt4011546,tt2071657,tt0486144,tt0466373
nm14648120	Mikael Ressen	\N	\N	writer	tt15340902
nm14648125	Claudia Cardenas	\N	\N	director	tt27127155
nm1464813	Daniel Martone	\N	\N	writer,director,cinematographer	tt0264897,tt0483633
nm14648132	Pau Artero	\N	\N	assistant_director,director,producer	tt36159814,tt28654103,tt29927130,tt30518102
nm14648133	Lex Harold	\N	\N	director,cinematographer,editor	tt27127160
nm14648135	Osman Masky Bendu	\N	\N	director,writer	tt27127169
nm14648162	Derya Calisir	\N	\N	actress,writer,producer	tt28115654,tt28115965,tt0845088,tt28234061
nm1464818	Virginia Martínez	\N	\N	writer,director,assistant_director	tt0382519,tt0217738,tt1732679,tt2816936
nm14648188	Arianne Olthaar	\N	\N	director	tt27127246
nm1464819	Nadezhda Marusalova	1924	2022	director,production_designer,miscellaneous	tt6215740,tt1719591,tt5858244,tt5865586
nm14648191	Nicky Assmann	\N	\N	director	tt27127259
nm14648216	Alireza Akrami	\N	\N	director,producer	tt27127340
nm14648217	Mohamad Hani Janaty	2006	\N	director,actor,composer	tt27127340
nm1464823	Bernard Marzolf	\N	\N	camera_department,production_manager,director	tt0495834,tt2053358,tt0365368,tt2136814
nm14648230	Amia Voluntad	\N	\N	director,writer,cinematographer	tt27127371
nm14648240	Bjarni Þór Gíslason	\N	\N	writer,cinematographer,composer	tt27196472,tt27127382
nm14648241	Mariam Dib Awada	\N	\N	writer,assistant_director	tt27127386
nm1464829	Nicholas Masky	1983	\N	miscellaneous,director,assistant_director	tt0330793,tt1935859,tt1794932,tt3520702
